skuagr_2,descriprod_agrp2,lineaproducto,grupo_producto,sub_grupo_1,sub_grupo_2,cobertura_contrato,perfil_terapeutico,atc,base_pbs,grupo_riesgo
102196168G5,PLASMA SANGUINEO 1U/ML  SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,NO PBS,OFTALMICOS,0,NO PBS,199
102243675G5,SIMETICONA 125 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA DIGESTIVO,A03AX13,PBS 2021,199
102323968G5,HIDROXIPROPILMETILCELULOSA (0.3%) 3 MG + DEXTRAN (0.1%) 1 MG (/ML)  SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,D02AX01,INCLUSION 2022,199
102456875G5,AGOMELATINA 25 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,PSIQUIATRIA,N06AX22,INCLUSION 2022,103
102596570G5,DEXAMETASONA 1 MG + LIDOCAINA 40 MG + NEOMICINA 3.75 MG + POLIMIXINA B 10.000 UI (/ML) SOLUCION OTICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,CORTICOESTEROIDES,S03CA06,INCLUSION 2022,199
102696669G5,FENILEFRINA 15 MG + FEXOFENADINA 30 MG (/5ML) SOLUCION ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R01BA53,INCLUSION 2022,199
1027100268G5,INTERFERON BETA 2B 3.000.000 UI/5ML  SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_AUTOAPLICABLES,P B S,OFTALMICOS,L03AB08,INCLUSION 2022,199
102796768G5,INTERFERON BETA 2B 5.000.000 UI/5ML  SOLUCION OFTALMICA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_AUTOAPLICABLES,P B S,OFTALMICOS,L03AB08,INCLUSION 2022,199
10287857G6,ABINTRA NARANJA   POLVO ORAL   SOBRE X 27 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
102896937G5,MOMETASONA (0.1%) 1 MG/GR  CREMA TOPICA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA TOPICA,P B S,DERMATOLOGICOS,D07AC13,PBS 2021,199
102997037G5,SALICILATO METILO 70 GR/100 GR (/100 GR) CREMA TOPICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,NO PBS,Z-NOAGRUPADO,M02AX10,NO PBS,199
103074175G5,ARMODAFINILO 50 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,NO PBS,PSIQUIATRIA,N06BA07,NO PBS,199
103197454G5,CLINDAMICINA 100 MG + CLOTRIMAZOL 200 MG  OVULO,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,ANTIMICOTICOS,G01AA60,PBS 2021,199
103397737G5,OXIDO DE ZINC (5%) 5 GR + CALAMINA  (/100GR) CREMA TOPICA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA TOPICA,P B S,DERMATOLOGICOS,D02AB99,INCLUSION 2022,199
103536775G5,EZETIMIBA 10 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,NO PBS,Z-NOAGRUPADO,C10AX09,NO PBS,199
103697875G5,ACETAMINOFEN 325 MG + TIOCOLCHICOSIDO 4 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02BE51,INCLUSION 2022,199
103738875G5,ACIDO DIMERCAPTOSUCCINICO 100 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,DESINTOXICANTES,V09CA02,INCLUSION 2022,199
10375875G5,ABIRATERONA 500 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,P B S,ONCOLOGIA,L02BX03,INCLUSION 2022,199
103899468G6,DEXAMETASONA +  (0.1%) 1 MG + GATIFLOXACINO (0.3%) 3 MG (/ML) SOLUCION OFTALMICA   GATIDEX,COMERCIALES 1,ALTO COSTO,MX_NIVEL_2,TERAPIA OFTALMICA,P B S,OFTALMICOS,S01CA01,INCLUSION 2022,199
103991769G6,NUTREN SENIOR   SOLUCION ORAL   FRASCO X 200 ML,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,LIQUIDO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
104097266G5,VACUNA ANTINEUMOCOCCICA CONJUGADA   SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,VACUNAS,TERAPIA INYECTABLE,NO PBS,VACUNAS,J07AH05,NO PBS,199
104191669G6,SURVIMED OPD HN   SOLUCION ORAL   BOLSA X 500 ML,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,LIQUIDO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
104231935G5,ANAGRELIDA 0.5 MG  CAPSULA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,NO PBS,HEMATOLOG A,B01AC14,NO PBS,199
104398257G6,PROWHEY NEUMO   POLVO ORAL   LATA X 435 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
104399357G6,PROWHEY NEUMO   POLVO ORAL   SOBRE X 87 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
10440169G5,ACETAMINOFEN 100 MG/ML  SOLUCION ORAL,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANALGESICOS BASICOS,N02BE01,PBS 2021,199
104438875G5,BROMURO DE PINAVERIO 100 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,A03AX04,INCLUSION 2022,199
10446450G5,ACETAMINOFEN 150 MG/5ML  JARABE,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANALGESICOS BASICOS,N02BE01,PBS 2021,199
104598686G5,CYSTOFLO 500 ML   ,GENERICOS,PRIMER NIVEL,HOSPITALARIO,DISPOSITIVOS,P B S,MATERIALES,DM,PBS 2021,199
104636775G5,VORTIOXETINA 10 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,PSIQUIATRIA,N06AX26,INCLUSION 2022,103
10475875G5,ACETAMINOFEN 500 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANALGESICOS BASICOS,N02BE01,PBS 2021,199
10480275G5,ACETAMINOFEN 665 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02BE01,PBS 2021,199
104832775G5,EVEROLIMUS 0.75 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,P B S,ONCOLOGIA,L04AA18,INCLUSION 2022,199
104833875G5,EVEROLIMUS 1 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,P B S,ONCOLOGIA,L04AA18,INCLUSION 2022,199
104899075G5,EVEROLIMUS 0.50 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,P B S,ONCOLOGIA,L04AA18,INCLUSION 2022,199
104997286G5,LECTOR FREESTYLE    ,GENERICOS,ALTO COSTO,DISPOSITIVOS,DM GLUCOMETR A,P B S,DIABETES,DMDIAB,INCLUSION 2022,199
105097286G5,SENSOR FREESTYLE    ,GENERICOS,ALTO COSTO,DISPOSITIVOS,DM GLUCOMETR A,P B S,DIABETES,DMDIAB,INCLUSION 2022,101
105199266G5,TRIAMCINOLONA 10 MG/ML   SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA INYECTABLE,P B S,CORTICOESTEROIDES,H02AB08,INCLUSION 2022,199
105299757G6,ALIMENTO EN POLVO CON VITAMINAS HIERRO Y ZINC SOBRE X 1 GR  POLVO ORAL   SOBRE X 1 GR,COMERCIALES 1,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MICRONUTRIENTES,NUT,INCLUSION 2022,199
105390457G6,PROWHEY DM LPM   POLVO ORAL   SOBRE X 56 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
105490457G6,PROWHEY ONCARE LPM   POLVO ORAL   SOBRE X 56 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
105591257G6,PROWHEY TRR LPM   POLVO ORAL   SOBRE X 84 GR,COMERCIALES 1,NUTRICIONALES,NUTRICIONALES,POLVO,NO PBS,NUTRICIONALES,NUT,NO PBS,199
105699537G5,PROTECTOR SOLAR SPF 43+  CREMA TOPICA,GENERICOS,ALTO COSTO,COSMETICOS,0,NO PBS,COMPLEMENTARIOS,COSM,NO PBS,199
105699545G6,PROTECTOR SOLAR SPF 50+  GEL TOPICO   UMBRELLA,COMERCIALES 1,ALTO COSTO,COSMETICOS,0,NO PBS,COMPLEMENTARIOS,COSM,NO PBS,199
105699675G5,FINGOLIMOD 0.5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,P B S,REUMATOLOGIA,L04AA27,PBS 2021,199
105730466G5,TERLIPRESINA 0.2 MG/ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,HOSPITAL D A,NO PBS,Z-NOAGRUPADO,H01BA04,NO PBS,199
10576275G5,ACETAMINOFEN 500 MG + CAFEINA 65 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02BE51,INCLUSION 2022,199
105845175G5,UPADACITINIB 15 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,P B S,Z-NOAGRUPADO,L04AA44,INCLUSION 2024,199
10598475G5,ACETAMINOFEN 500 MG + CAFEINA 50 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02BE51,INCLUSION 2022,199
105997258G5,VACUNA CEPA VIVA ATENUADA DEL VIRUS DE VARICELA    POLVO PARA RECONSTIT INYECTABLE,GENERICOS,ALTO COSTO,VACUNAS,TERAPIA INYECTABLE,NO PBS,VACUNAS,J07BK01,NO PBS,199
106097237G6,CREMA EXTRA HUMECTANTE   CREMA TOPICA   LUBRIDERM,COMERCIALES 1,ALTO COSTO,COSMETICOS,0,NO PBS,COMPLEMENTARIOS,COSM,NO PBS,199
1061100075G5,OLMESARTAN 20 MG + HIDROCLOROTIAZIDA 12.5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C09DA08,PBS 2021,101
106252075G5,LEVOAMLODIPINO 2.5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C08CA01,INCLUSION 2022,101
1063100786G5,VENDA ALGOD N 5 PULG   ,GENERICOS,PRIMER NIVEL,HOSPITALARIO,INSUMOS,P B S,MATERIALES,MAT,PBS 2021,199
1064100886G5,VENDA ELASTICA 6 PULG   ,GENERICOS,PRIMER NIVEL,HOSPITALARIO,INSUMOS,P B S,MATERIALES,MAT,PBS 2021,199
106592986G5,APOSITO VULNUS 10 CM X 10 CM   ,GENERICOS,ALTO COSTO,DISPOSITIVOS,APOSITOS,P B S,DERMATOLOGICOS,DM,INCLUSION 2022,199
106636252G5,CINTA ADHESIVA HIPOALERGENICA 10 CM X 10 MT  (MATERIALES),GENERICOS,PRIMER NIVEL,HOSPITALARIO,INSUMOS,P B S,MATERIALES,MAT,PBS 2021,199
10664475G5,ACETAMINOFEN 325 MG + CODEINA 15 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02AJ06,INCLUSION 2024,199
10664675G5,ACETAMINOFEN 325 MG + CODEINA 30 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02AJ06,INCLUSION 2024,199
10664975G5,ACETAMINOFEN 325 MG + CODEINA 8 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02AJ06,INCLUSION 2024,199
106897249G5,PROPOLEO    JALEA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,0,PBS 2021,199
106937275G5,PERINDOPRIL 10 MG + AMLODIPINO 5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C09BB04,PBS 2021,101
107084175G6,AMOXICILINA 875 MG + SULBACTAM 125 MG TABLETA   SULAMP,COMERCIALES 1,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTIINFECCIOSOS,J01CR02,PBS 2021,199
1071101175G6,BISOPROLOL 10 MG + HIDROCLOROTIAZIDA 6.25 MG TABLETA   ZIAC,COMERCIALES 1,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C07BB07,INCLUSION 2022,101
10764375G5,ACETAMINOFEN 325 MG + HIDROCODONA 10 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02BE71,INCLUSION 2024,199
10764775G5,ACETAMINOFEN 325 MG + HIDROCODONA 5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02BE71,INCLUSION 2024,199
10764875G5,ACETAMINOFEN 325 MG + HIDROCODONA 7.5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,N02BE71,INCLUSION 2024,199
10864575G5,ACETAMINOFEN 325 MG + TIZANIDINA 2 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,M03BX02,INCLUSION 2022,199
10865475G5,ACETAMINOFEN 350 MG + TIZANIDINA 2 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,MEDICINA DEL DOLOR,M03BX02,INCLUSION 2022,199
10955956G5,ACETATO DE ALUMINIO 22 GR  POLVO GRANULADO,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,DERMATOLOGICOS,D02AX99,PBS 2021,199
10973251G5,ACETATO DE ALUMINIO 5.9 MG/ML  LOCION TOPICA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA TOPICA,P B S,DERMATOLOGICOS,D02AX99,INCLUSION 2022,199
11074175G5,ACETATO DE CIPROTERONA 50 MG  TABLETA,GENERICOS,ALTO COSTO,MX_AP_ESP,ACC_TERAPIA ORAL,P B S,ONCOLOGIA,G03HA01,INCLUSION 2022,199
11149975G5,ACETATO DE CIPROTERONA 2 MG + ETINILESTRADIOL 0.035 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,ANTICONCEPTIVOS,G03HB01,INCLUSION 2022,104
11268166G5,ACETATO DE GLATIRAMERO 40 MG/ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_AP_ESP,HOSPITAL D A,P B S,REUMATOLOGIA,L03AX13,PBS 2021,199
11358375G5,ACETAZOLAMIDA 250 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,OFTALMICOS,S01EC01,PBS 2021,199
11438856G5,ACETILCISTEINA 100 MG  POLVO GRANULADO,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R05CB01,INCLUSION 2022,199
11454856G5,ACETILCISTEINA 200 MG  POLVO GRANULADO,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R05CB01,INCLUSION 2022,199
11479256G5,ACETILCISTEINA 600 MG  POLVO GRANULADO,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R05CB01,INCLUSION 2022,199
11492769G5,ACETILCISTEINA 2 GR/100ML  SOLUCION ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,SISTEMA RESPIRATORO,R05CB01,INCLUSION 2022,199
11522280G5,ACICLOVIR (0.05%) 0.05 GR/100 GR  UNGUENTO TOPICO,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA TOPICA,P B S,ANTIMICOTICOS,D06BB03,PBS 2021,199
11554875G5,ACICLOVIR 200 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIMICOTICOS,J05AB01,PBS 2021,199
11555574G5,ACICLOVIR 200 MG/5ML  SUSPENSION ORAL,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIMICOTICOS,J05AB01,PBS 2021,199
11568375G5,ACICLOVIR 400 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIMICOTICOS,J05AB01,PBS 2021,199
11583575G5,ACICLOVIR 800 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,ANTIMICOTICOS,J05AB01,PBS 2021,199
11638875G5,ACIDO ACETIL SALICILICO 100 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,CARDIOVASCULAR,B01AC06,PBS 2021,101
11638875G6,ACIDO ACETIL SALICILICO 100 MG  TABLETA   CARDIOASAWIN,COMERCIALES 1,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,CARDIOVASCULAR,B01AC06,PBS 2021,101
11840169G5,ACIDO ASCORBICO 100 MG/ML  SOLUCION ORAL,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SUPLEMENTOS Y VITAMINAS,A11GA01,PBS 2021,199
11875875G5,ACIDO ASCORBICO 500 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,SUPLEMENTOS Y VITAMINAS,A11GA01,PBS 2021,199
11943975G5,ACIDO FENOFIBRICO (FENOFIBRATO) 135 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C10AB11,INCLUSION 2022,101
11954875G5,ACIDO FENOFIBRICO (FENOFIBRATO) 200 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C10AB05,INCLUSION 2022,101
12044075G5,ACIDO FENOFIBRICO 135 MG + ROSUVASTATINA 10 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C10AA07,INCLUSION 2022,101
12044175G5,ACIDO FENOFIBRICO 135 MG + ROSUVASTATINA 20 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C10AA07,INCLUSION 2022,101
12093775G5,ACIDO FENOFIBRICO 135 MG + ROSUVASTATINA 5 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,CARDIOVASCULAR,C10AB51,INCLUSION 2022,101
12133875G5,ACIDO FOLICO 1 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,MICRONUTRIENTES,B03BB01,PBS 2021,106
12134466G5,ACIDO FOLICO 1 MG/ML  SOLUCION INYECTABLE,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA INYECTABLE,P B S,MICRONUTRIENTES,B03BB01,PBS 2021,199
12170875G5,ACIDO FOLICO 5 MG  TABLETA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA ORAL,P B S,MICRONUTRIENTES,B03BB01,PBS 2021,199
12237769G5,ACIDO FOLINICO 10 MG/ML  SOLUCION ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,PREP. MAGISTRALES,V03AF03,PBS 2021,199
12240169G5,ACIDO FOLINICO 100 MG/ML  SOLUCION ORAL,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,PREP. MAGISTRALES,V03AF03,PBS 2021,199
12326837G5,ACIDO FUSIDICO (2%) 2 GR/100 GR  CREMA TOPICA,GENERICOS,PRIMER NIVEL,MX_NIVEL_1,TERAPIA TOPICA,P B S,ANTIINFECCIOSOS,D06AX01,INCLUSION 2022,199
12445975G5,ACIDO IBANDRONICO 150 MG  TABLETA,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA ORAL,P B S,REUMATOLOGIA,M05BA06,PBS 2021,199
12478566G5,ACIDO IBANDRONICO 6 MG/6ML  SOLUCION INYECTABLE,GENERICOS,ALTO COSTO,MX_NIVEL_2,TERAPIA INYECTABLE,P B S,REUMATOLOGIA,M05BA06,PBS 2021,199
